site_id,round,model,loading,graph,articles,visual,interaction,total,graph_success,failures,evidence
r1-deepseek-v4-pro,r1,DeepSeek V4 Pro,2.7,6,0,4.5,4,17.2,no,home-entry;graph-route;article-list;article-detail-shell;weak-visual-system,"r1 DeepSeek V4 Pro: root index missing; /:200 /graph/:404 /articles/:404 /articles/050/:404 /articles/080/:404 /articles/103/:404; graph showed no reliable render evidence; articles list links=0, detail lengths=119/119/119; css vars=0, media=yes, search=yes."
r1-kimi-k2.7-code,r1,Kimi K2.7-code,15,35,15,20,15,100,yes,,"r1 Kimi K2.7-code: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph rendered (0 canvas, 1 svg); articles list links=104, detail lengths=4315/1330/4383; css vars=19, media=yes, search=yes."
r1-qwen3.7-max,r1,Qwen 3.7 Max,15,29,15,8,6.5,73.5,yes,weak-visual-system,"r1 Qwen 3.7 Max: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph rendered (0 canvas, 1 svg); articles list links=104, detail lengths=3977/1300/3850; css vars=0, media=yes, search=yes."
r1-glm-x-preview,r1,GLM 5.2,15,26,15,18.5,15,89.5,no,graph-partial-or-blank,"r1 GLM 5.2: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph had only partial/structural evidence (1 canvas, 0 svg); articles list links=104, detail lengths=4293/1316/4061; css vars=25, media=yes, search=yes."
r1-minimax-m3,r1,MiniMax M3,13.5,26,15,20,15,89.5,no,graph-partial-or-blank,"r1 MiniMax M3: served from site/; /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph had only partial/structural evidence (1 canvas, 0 svg); articles list links=106, detail lengths=4282/1372/4888; css vars=21, media=yes, search=yes."
r1-claude-opus-4-8,r1,Claude Opus 4.8,15,26,15,20,15,91,no,graph-partial-or-blank,"r1 Claude Opus 4.8: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph had only partial/structural evidence (1 canvas, 0 svg); articles list links=106, detail lengths=4702/1413/4214; css vars=20, media=yes, search=yes."
r2-deepseek-v4-pro,r2,DeepSeek V4 Pro,15,29,15,18.5,9,86.5,yes,,"r2 DeepSeek V4 Pro: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph rendered (1 canvas, 0 svg); articles list links=105, detail lengths=4121/1302/3857; css vars=14, media=yes, search=yes."
r2-kimi-k2.7-code,r2,Kimi K2.7-code,15,35,15,17.5,12.5,95,yes,,"r2 Kimi K2.7-code: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph rendered (0 canvas, 1 svg); articles list links=104, detail lengths=4696/1617/5868; css vars=16, media=yes, search=yes."
r2-qwen3.7-max,r2,Qwen 3.7 Max,15,35,9,18.5,15,92.5,yes,article-detail-shell,"r2 Qwen 3.7 Max: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph rendered (0 canvas, 1 svg); articles list links=104, detail lengths=164/153/139; css vars=14, media=yes, search=yes."
r2-glm-x-preview,r2,GLM 5.2,15,26,15,20,15,91,no,graph-partial-or-blank,"r2 GLM 5.2: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph had only partial/structural evidence (1 canvas, 1 svg); articles list links=104, detail lengths=3970/1334/4150; css vars=23, media=yes, search=yes."
r2-minimax-m3,r2,MiniMax M3,15,33,15,20,13,96,yes,,"r2 MiniMax M3: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph rendered (1 canvas, 0 svg); articles list links=106, detail lengths=5135/1713/6274; css vars=20, media=yes, search=yes."
r2-claude-opus-4-8,r2,Claude Opus 4.8,15,24,15,20,13,87,no,graph-partial-or-blank,"r2 Claude Opus 4.8: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph had only partial/structural evidence (1 canvas, 0 svg); articles list links=105, detail lengths=4245/1359/4162; css vars=21, media=yes, search=yes."
r3-deepseek-v4-pro,r3,DeepSeek V4 Pro,15,20,15,8,9,67,no,graph-partial-or-blank;weak-visual-system,"r3 DeepSeek V4 Pro: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph had only partial/structural evidence (1 canvas, 0 svg); articles list links=104, detail lengths=4108/1289/3844; css vars=0, media=yes, search=yes."
r3-kimi-k2.7-code,r3,Kimi K2.7-code,15,29,15,19,9,87,yes,,"r3 Kimi K2.7-code: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph rendered (0 canvas, 1 svg); articles list links=104, detail lengths=4179/1360/3909; css vars=18, media=yes, search=yes."
r3-qwen3.7-max,r3,Qwen 3.7 Max,15,29,15,15.8,9,83.8,yes,,"r3 Qwen 3.7 Max: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph rendered (0 canvas, 1 svg); articles list links=104, detail lengths=4070/1267/3820; css vars=9, media=yes, search=yes."
r3-glm-x-preview,r3,GLM 5.2,15,26,15,18.5,15,89.5,no,graph-partial-or-blank,"r3 GLM 5.2: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph had only partial/structural evidence (1 canvas, 0 svg); articles list links=104, detail lengths=4289/1394/4173; css vars=21, media=yes, search=yes."
r3-minimax-m3,r3,MiniMax M3,15,16,5,18.5,15,69.5,no,graph-blank;article-list;article-detail-shell,"r3 MiniMax M3: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph showed no reliable render evidence; articles list links=0, detail lengths=0/0/0; css vars=32, media=yes, search=yes."
r3-claude-opus-4-8,r3,Claude Opus 4.8,15,20,15,8,9,67,no,graph-partial-or-blank;weak-visual-system,"r3 Claude Opus 4.8: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph had only partial/structural evidence (1 canvas, 0 svg); articles list links=105, detail lengths=4180/1365/3941; css vars=0, media=yes, search=yes."
r4-deepseek-v4-pro,r4,DeepSeek V4 Pro,15,26,15,6.5,12.5,75,no,graph-partial-or-blank;weak-visual-system,"r4 DeepSeek V4 Pro: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph had only partial/structural evidence (1 canvas, 0 svg); articles list links=104, detail lengths=4166/1335/3882; css vars=0, media=yes, search=yes."
r4-kimi-k2.7-code,r4,Kimi K2.7-code,15,10,15,7.5,9,56.5,no,graph-blank;weak-visual-system,"r4 Kimi K2.7-code: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph showed no reliable render evidence; articles list links=104, detail lengths=4208/1366/4656; css vars=0, media=yes, search=yes."
r4-qwen3.7-max,r4,Qwen 3.7 Max,15,35,15,17.5,15,97.5,yes,,"r4 Qwen 3.7 Max: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph rendered (0 canvas, 1 svg); articles list links=104, detail lengths=4160/1334/3879; css vars=22, media=yes, search=yes."
r4-glm-x-preview,r4,GLM 5.2,15,26,15,20,15,91,no,graph-partial-or-blank,"r4 GLM 5.2: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph had only partial/structural evidence (1 canvas, 0 svg); articles list links=104, detail lengths=4449/1570/4208; css vars=19, media=yes, search=yes."
r4-minimax-m3,r4,MiniMax M3,15,35,15,20,15,100,yes,,"r4 MiniMax M3: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph rendered (0 canvas, 1 svg); articles list links=105, detail lengths=4813/1500/4213; css vars=26, media=yes, search=yes."
r4-claude-opus-4-8,r4,Claude Opus 4.8,15,35,15,20,15,100,yes,,"r4 Claude Opus 4.8: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph rendered (0 canvas, 1 svg); articles list links=105, detail lengths=4250/1360/4139; css vars=17, media=yes, search=yes."
r5-deepseek-v4-pro,r5,DeepSeek V4 Pro,15,35,15,17.5,12.5,95,yes,,"r5 DeepSeek V4 Pro: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph rendered (0 canvas, 1 svg); articles list links=104, detail lengths=4124/1305/3854; css vars=17, media=yes, search=yes."
r5-kimi-k2.7-code,r5,Kimi K2.7-code,15,16,15,16.5,12.5,75,no,graph-blank,"r5 Kimi K2.7-code: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph showed no reliable render evidence; articles list links=104, detail lengths=4032/1338/3906; css vars=12, media=yes, search=yes."
r5-qwen3.7-max,r5,Qwen 3.7 Max,15,35,15,17.5,15,97.5,yes,,"r5 Qwen 3.7 Max: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph rendered (0 canvas, 1 svg); articles list links=104, detail lengths=4125/1306/3855; css vars=16, media=yes, search=yes."
r5-glm-x-preview,r5,GLM 5.2,15,26,15,18.5,15,89.5,no,graph-partial-or-blank,"r5 GLM 5.2: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph had only partial/structural evidence (1 canvas, 0 svg); articles list links=104, detail lengths=4410/1516/4212; css vars=21, media=yes, search=yes."
r5-minimax-m3,r5,MiniMax M3,15,21,15,20,13,84,no,graph-partial-or-blank,"r5 MiniMax M3: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph had only partial/structural evidence (1 canvas, 0 svg); articles list links=106, detail lengths=4222/1345/4131; css vars=22, media=yes, search=yes."
r5-claude-opus-4-8,r5,Claude Opus 4.8,15,24,15,17.5,13,84.5,no,graph-partial-or-blank,"r5 Claude Opus 4.8: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph had only partial/structural evidence (1 canvas, 0 svg); articles list links=105, detail lengths=4231/1351/4081; css vars=12, media=yes, search=yes."
r6-deepseek-v4-pro,r6,DeepSeek V4 Pro,15,31,15,8,11,80,yes,weak-visual-system,"r6 DeepSeek V4 Pro: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph rendered (0 canvas, 1 svg); articles list links=105, detail lengths=4142/1323/3878; css vars=0, media=yes, search=yes."
r6-kimi-k2.7-code,r6,Kimi K2.7-code,15,35,15,7.5,15,87.5,yes,weak-visual-system,"r6 Kimi K2.7-code: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph rendered (0 canvas, 1 svg); articles list links=104, detail lengths=4121/1292/4049; css vars=0, media=yes, search=yes."
r6-qwen3.7-max,r6,Qwen 3.7 Max,15,35,15,6.5,15,86.5,yes,weak-visual-system,"r6 Qwen 3.7 Max: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph rendered (0 canvas, 1 svg); articles list links=104, detail lengths=4126/1307/3856; css vars=0, media=yes, search=yes."
r6-glm-x-preview,r6,GLM 5.2,15,26,15,20,15,91,no,graph-partial-or-blank,"r6 GLM 5.2: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph had only partial/structural evidence (1 canvas, 0 svg); articles list links=104, detail lengths=4272/1382/4112; css vars=24, media=yes, search=yes."
r6-minimax-m3,r6,MiniMax M3,15,26,15,20,15,91,no,graph-partial-or-blank,"r6 MiniMax M3: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph had only partial/structural evidence (1 canvas, 0 svg); articles list links=105, detail lengths=4157/1380/4266; css vars=19, media=yes, search=yes."
r6-claude-opus-4-8,r6,Claude Opus 4.8,15,20,15,8,9,67,no,graph-partial-or-blank;weak-visual-system,"r6 Claude Opus 4.8: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph had only partial/structural evidence (1 canvas, 0 svg); articles list links=106, detail lengths=4645/1348/3977; css vars=0, media=yes, search=yes."
r7-deepseek-v4-pro,r7,DeepSeek V4 Pro,15,26,15,6.5,12.5,75,no,graph-partial-or-blank;weak-visual-system,"r7 DeepSeek V4 Pro: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph had only partial/structural evidence (1 canvas, 0 svg); articles list links=104, detail lengths=4265/1312/3861; css vars=0, media=yes, search=yes."
r7-kimi-k2.7-code,r7,Kimi K2.7-code,15,35,15,17.3,12.5,94.8,yes,,"r7 Kimi K2.7-code: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph rendered (0 canvas, 1 svg); articles list links=104, detail lengths=4095/1283/3841; css vars=15, media=yes, search=yes."
r7-qwen3.7-max,r7,Qwen 3.7 Max,15,35,15,19,15,99,yes,,"r7 Qwen 3.7 Max: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph rendered (0 canvas, 1 svg); articles list links=104, detail lengths=4187/1277/4860; css vars=21, media=yes, search=yes."
r7-glm-x-preview,r7,GLM 5.2,13.5,26,15,20,15,89.5,no,graph-partial-or-blank,"r7 GLM 5.2: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph had only partial/structural evidence (1 canvas, 0 svg); articles list links=104, detail lengths=4111/1372/4095; css vars=19, media=yes, search=yes."
r7-minimax-m3,r7,MiniMax M3,15,26,15,20,15,91,no,graph-partial-or-blank,"r7 MiniMax M3: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph had only partial/structural evidence (3 canvas, 0 svg); articles list links=105, detail lengths=4500/1453/5526; css vars=37, media=yes, search=yes."
r7-claude-opus-4-8,r7,Claude Opus 4.8,15,24,15,19.8,13,86.8,no,graph-partial-or-blank,"r7 Claude Opus 4.8: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph had only partial/structural evidence (1 canvas, 0 svg); articles list links=105, detail lengths=4386/1364/4162; css vars=15, media=yes, search=yes."
r8-deepseek-v4-pro,r8,DeepSeek V4 Pro,15,20,15,6.5,6.5,63,no,graph-partial-or-blank;weak-visual-system,"r8 DeepSeek V4 Pro: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph had only partial/structural evidence (1 canvas, 0 svg); articles list links=104, detail lengths=4116/1297/3852; css vars=0, media=yes, search=yes."
r8-kimi-k2.7-code,r8,Kimi K2.7-code,15,35,15,17.5,15,97.5,yes,,"r8 Kimi K2.7-code: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph rendered (0 canvas, 1 svg); articles list links=104, detail lengths=4073/1322/4091; css vars=17, media=yes, search=yes."
r8-qwen3.7-max,r8,Qwen 3.7 Max,15,29,15,6.5,9,74.5,yes,weak-visual-system,"r8 Qwen 3.7 Max: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph rendered (0 canvas, 1 svg); articles list links=104, detail lengths=4262/1307/3856; css vars=0, media=yes, search=yes."
r8-glm-x-preview,r8,GLM 5.2,15,26,15,18.5,15,89.5,no,graph-partial-or-blank,"r8 GLM 5.2: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph had only partial/structural evidence (1 canvas, 0 svg); articles list links=107, detail lengths=4150/1413/4128; css vars=21, media=yes, search=yes."
r8-minimax-m3,r8,MiniMax M3,15,24,15,20,13,87,no,graph-partial-or-blank,"r8 MiniMax M3: served from site/; /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph had only partial/structural evidence (1 canvas, 0 svg); articles list links=105, detail lengths=4495/1449/5223; css vars=28, media=yes, search=yes."
r8-claude-opus-4-8,r8,Claude Opus 4.8,15,35,13,20,15,98,yes,article-list,"r8 Claude Opus 4.8: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph rendered (0 canvas, 1 svg); articles list links=1, detail lengths=4107/1363/4177; css vars=20, media=yes, search=yes."
r9-deepseek-v4-pro,r9,DeepSeek V4 Pro,15,17,15,8,13,68,no,graph-blank;weak-visual-system,"r9 DeepSeek V4 Pro: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph showed no reliable render evidence; articles list links=207, detail lengths=4147/1316/3865; css vars=0, media=yes, search=yes."
r9-kimi-k2.7-code,r9,Kimi K2.7-code,15,26,15,19.8,15,90.8,no,graph-partial-or-blank,"r9 Kimi K2.7-code: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph had only partial/structural evidence (1 canvas, 0 svg); articles list links=104, detail lengths=4093/1288/3849; css vars=15, media=yes, search=yes."
r9-qwen3.7-max,r9,Qwen 3.7 Max,15,35,15,18.3,15,98.3,yes,,"r9 Qwen 3.7 Max: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph rendered (0 canvas, 1 svg); articles list links=104, detail lengths=4172/1353/3897; css vars=13, media=yes, search=yes."
r9-glm-x-preview,r9,GLM 5.2,15,35,15,18.5,15,98.5,yes,,"r9 GLM 5.2: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph rendered (1 canvas, 0 svg); articles list links=104, detail lengths=4165/1339/3885; css vars=22, media=yes, search=yes."
r9-minimax-m3,r9,MiniMax M3,15,17,15,20,9,76,no,graph-partial-or-blank,"r9 MiniMax M3: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph had only partial/structural evidence (1 canvas, 0 svg); articles list links=105, detail lengths=4691/1394/5802; css vars=34, media=yes, search=yes."
r9-claude-opus-4-8,r9,Claude Opus 4.8,15,24,15,19,13,86,no,graph-partial-or-blank,"r9 Claude Opus 4.8: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph had only partial/structural evidence (1 canvas, 0 svg); articles list links=105, detail lengths=4194/1363/3926; css vars=12, media=yes, search=yes."
r10-deepseek-v4-pro,r10,DeepSeek V4 Pro,15,19,15,6.5,12.5,68,no,graph-blank;weak-visual-system,"r10 DeepSeek V4 Pro: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph showed no reliable render evidence; articles list links=104, detail lengths=6086/3263/5818; css vars=0, media=yes, search=yes."
r10-kimi-k2.7-code,r10,Kimi K2.7-code,15,35,9,20,15,94,yes,article-detail-shell,"r10 Kimi K2.7-code: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph rendered (0 canvas, 1 svg); articles list links=104, detail lengths=134/123/114; css vars=17, media=yes, search=yes."
r10-qwen3.7-max,r10,Qwen 3.7 Max,15,29,15,8,6.5,73.5,yes,weak-visual-system,"r10 Qwen 3.7 Max: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph rendered (0 canvas, 1 svg); articles list links=104, detail lengths=4149/1323/3868; css vars=0, media=yes, search=yes."
r10-glm-x-preview,r10,GLM 5.2,15,35,15,20,15,100,yes,,"r10 GLM 5.2: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph rendered (1 canvas, 0 svg); articles list links=105, detail lengths=3992/1375/4157; css vars=20, media=yes, search=yes."
r10-minimax-m3,r10,MiniMax M3,15,17,15,18.5,6.5,72,no,graph-partial-or-blank,"r10 MiniMax M3: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph had only partial/structural evidence (3 canvas, 0 svg); articles list links=108, detail lengths=4437/1542/4340; css vars=22, media=yes, search=yes."
r10-claude-opus-4-8,r10,Claude Opus 4.8,15,24,15,20,13,87,no,graph-partial-or-blank,"r10 Claude Opus 4.8: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph had only partial/structural evidence (1 canvas, 0 svg); articles list links=105, detail lengths=4214/1391/3938; css vars=18, media=yes, search=yes."
